Data Field,Value
Study ID,Bondje 2022
Title,Another case of milk–alkali syndrome or a learning opportunity?
First Author,Sophie Bondje
Year,2022
Journal,"Endocrinology, Diabetes & Metabolism Case Reports"
Country,UK
DOI / PMID / Trial Registry ID,10.1530/EDM-21-0151
Funding Source,"This work did not receive any specific grant from any funding agency in the public, commercial or not-for-profit sector."
Conflict of Interest Stated?,The authors declare that there is no conflict of interest that could be perceived as prejudicing the impartiality of the research reported.
Study Design,Case Report
Control Group Type,N/A
Blinding,NR
Randomization Method,NR
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,NR
Duration of Treatment,a few weeks
Total Follow-up Duration,2 months post discharge
Loss to Follow-up (n per arm if reported),NR
Analysis Population Used,Case study (1 patient)
Total Sample Size (Randomized),1
Sample Size Analyzed (Primary Outcome),1
Mean Age (± SD),72
Sex (% Female),100%
BMI (Mean ± SD),NR
Stone Type,renal calculus
History of Stones,NR
Baseline Stone Size or Burden (if reported),4 mm
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,N/A
Stone Induction Method,N/A
Arm ID,A
Intervention Name,calcium carbonate containing antacid tablets (Rennie®) and calcium carbonate with vitamin D3 (Adcal D3)
Dose,Adcal D3: 1500 mg calcium carbonate with 400 units cholecalciferol; Rennie: 680 mg calcium carbonate and 80 mg magnesium carbonate per tablet
Frequency,Adcal D3: daily; Rennie: significant quantities/as required
Route,Oral
Comparator Name,N/A
Concomitant Medications Allowed?,"cholecalciferol (Fultium-D3) 800 units OD, amitriptyline 10 mg OD, pancreatin (Creon) 4000 TDS, levothyroxine 75 µg OD, mirtazapine 15 mg OD, omeprazole 20 mg OD"
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),"Milk–alkali syndrome (triad of hypercalcaemia, metabolic alkalosis and renal insufficiency)"
Method of Detection,Blood tests and venous blood gas analysis
Timepoint Assessed,Admission
Events (n) [Intervention],1
Total (N) [Intervention],1
Events (n) [Control],N/A
Total (N) [Control],N/A
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,a few weeks of excessive ingestion
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,2 months post discharge
Urine Calcium [Intervention],NR
Urine Calcium [Control],N/A
Urine Citrate [Intervention],NR
Urine Citrate [Control],N/A
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],N/A
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],N/A
Urine pH [Intervention],NR
Urine pH [Control],N/A
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],N/A
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,N/A
Crystal Deposit Score (Mean ± SD),N/A
Intervention,non-obstructive 4 mm renal calculus
Control,N/A
GI Symptoms (n per arm),"nausea, vomiting, epigastric pain, constipation"
Withdrawals Due to Adverse Events (n per arm),NR
Other Adverse Events (verbatim),"lethargy, delirium, dehydration, acute kidney injury, transient asymptomatic hypocalcaemia, rebound hyperparathyroidism"
Primary Timepoint Recommended for Pooling,Admission
Outcome Suitable for Meta-analysis? (Yes / No),No
Data Requires Imputation for SD? (Yes / No / Not sure),No
Comments / Extraction Notes,"Patient had pre-existing chronic kidney disease stage 3 (baseline eGFR, 58 mL/min). MAS was precipitated by combining prescribed Adcal D3 with self-medicated Rennie tablets for dyspepsia. Initial adjusted calcium was 3.77 mmol/L and creatinine 292 µmol/L."
